brand,model,vdc_max,a_max,price,link
Isabellenhuette,IVT-S-100,1000,120,380.7,
Isabellenhuette,IVT-S-300,1000,320,378.08,
Isabellenhuette,IVT-S-500,1000,730,388.04,
Isabellenhuette,IVT-S-1000,1000,1100,392.02,
Victron,SmartShunt 500A,1000,500,150.00,https://example.com/victron
